stfips,State,County_Name,cat_RUCC
1001,AL,Autauga County,1
1003,AL,Baldwin County,1
1005,AL,Barbour County,3
1007,AL,Bibb County,1
1009,AL,Blount County,1
1011,AL,Bullock County,3
1013,AL,Butler County,3
1015,AL,Calhoun County,1
1017,AL,Chambers County,3
1019,AL,Cherokee County,3
1021,AL,Chilton County,1
1023,AL,Choctaw County,4
1025,AL,Clarke County,3
1027,AL,Clay County,4
1029,AL,Cleburne County,4
1031,AL,Coffee County,2
1033,AL,Colbert County,1
1035,AL,Conecuh County,3
1037,AL,Coosa County,4
1039,AL,Covington County,3
1041,AL,Crenshaw County,4
1043,AL,Cullman County,2
1045,AL,Dale County,2
1047,AL,Dallas County,2
1049,AL,DeKalb County,3
1051,AL,Elmore County,1
1053,AL,Escambia County,3
1055,AL,Etowah County,1
1057,AL,Fayette County,3
1059,AL,Franklin County,3
1061,AL,Geneva County,1
1063,AL,Greene County,4
1065,AL,Hale County,1
1067,AL,Henry County,1
1069,AL,Houston County,1
1071,AL,Jackson County,3
1073,AL,Jefferson County,1
1075,AL,Lamar County,4
1077,AL,Lauderdale County,1
1079,AL,Lawrence County,1
1081,AL,Lee County,1
1083,AL,Limestone County,1
1085,AL,Lowndes County,1
1087,AL,Macon County,3
1089,AL,Madison County,1
1091,AL,Marengo County,3
1093,AL,Marion County,3
1095,AL,Marshall County,2
1097,AL,Mobile County,1
1099,AL,Monroe County,3
1101,AL,Montgomery County,1
1103,AL,Morgan County,1
1105,AL,Perry County,4
1107,AL,Pickens County,1
1109,AL,Pike County,3
1111,AL,Randolph County,3
1113,AL,Russell County,1
1115,AL,St. Clair County,1
1117,AL,Shelby County,1
1119,AL,Sumter County,4
1121,AL,Talladega County,2
1123,AL,Tallapoosa County,3
1125,AL,Tuscaloosa County,1
1127,AL,Walker County,1
1129,AL,Washington County,4
1131,AL,Wilcox County,4
1133,AL,Winston County,3
2013,AK,Aleutians East Borough,4
2016,AK,Aleutians West Census Area,4
2020,AK,Anchorage Municipality,1
2050,AK,Bethel Census Area,3
2060,AK,Bristol Bay Borough,4
2068,AK,Denali Borough,4
2070,AK,Dillingham Census Area,4
2090,AK,Fairbanks North Star Borough,1
2100,AK,Haines Borough,4
2110,AK,Juneau City and Borough,2
2122,AK,Kenai Peninsula Borough,3
2130,AK,Ketchikan Gateway Borough,3
2150,AK,Kodiak Island Borough,3
2164,AK,Lake and Peninsula Borough,4
2170,AK,Matanuska-Susitna Borough,1
2180,AK,Nome Census Area,3
2185,AK,North Slope Borough,3
2188,AK,Northwest Arctic Borough,3
2195,AK,Petersburg Census area,4
2198,AK,Price of Wales Hyder Census Area,4
2220,AK,Sitka City and Borough,3
2230,AK,Skagway Municipality,4
2240,AK,Southeast Fairbanks Census Area,4
2261,AK,Valdez-Cordova Census Area,4
2270,AK,Wade Hampton Census Area,4
2275,AK,Wrangell City and Borough,4
2282,AK,Yakutat City and Borough,4
2290,AK,Yukon-Koyukuk Census Area,4
4001,AZ,Apache County,3
4003,AZ,Cochise County,1
